student_id,current_cgpa,target_cgpa,study_habits,level,semester,timetable_slots
1,2.75,2.77,Writing,300,First,"Wed: 3-6, Thu: 9-12"
2,3.9,4,Writing,100,Second,"Fri: 10-12, Mon: 1-3"
3,3.46,3.62,Reading,100,Second,"Wed: 3-6, Wed: 9-12"
4,3.2,3.45,Visual,400,Second,"Thu: 10-12, Wed: 1-3"
5,2.31,2.76,Writing,300,First,"Sat: 2-4, Thu: 1-3"
6,2.31,2.43,Writing,100,First,"Mon: 8-10, Tue: 9-12"
7,2.12,2.33,Auditory,400,First,"Wed: 8-10, Wed: 9-12"
8,3.73,4,Writing,300,Second,"Mon: 3-6, Sat: 9-12"
9,3.2,3.31,Writing,400,Second,"Tue: 2-4, Fri: 2-4"
10,3.42,3.46,Auditory,200,Second,"Thu: 8-10, Sat: 8-10"
11,2.04,2.18,Reading,100,First,"Fri: 3-6, Thu: 2-4"
12,3.94,4,Writing,200,Second,"Fri: 2-4, Wed: 11-1"
13,3.66,4,Auditory,300,Second,"Wed: 10-12, Thu: 3-6"
14,2.42,2.82,Visual,200,Second,"Fri: 3-6, Sat: 1-3"
15,2.36,2.68,Reading,200,Second,"Tue: 8-10, Fri: 8-10"
16,2.37,2.81,Visual,300,First,"Wed: 10-12, Mon: 11-1"
17,2.61,3.01,Visual,400,First,"Wed: 3-6, Fri: 1-3"
18,3.05,3.14,Auditory,200,Second,"Tue: 3-6, Wed: 8-10"
19,2.86,3.31,Writing,400,First,"Tue: 1-3, Fri: 3-6"
20,2.58,2.85,Auditory,200,First,"Tue: 2-4, Wed: 1-3"
21,3.22,3.62,Auditory,400,Second,"Wed: 9-12, Tue: 9-12"
22,2.28,2.73,Auditory,300,Second,"Fri: 2-4, Tue: 11-1"
23,2.58,2.74,Auditory,200,First,"Tue: 2-4, Thu: 9-12"
24,2.73,2.79,Reading,300,Second,"Tue: 2-4, Sat: 9-12"
25,2.91,3.02,Writing,200,First,"Fri: 8-10, Wed: 10-12"
26,3.57,3.78,Visual,300,Second,"Thu: 11-1, Wed: 3-6"
27,2.4,2.81,Visual,300,First,"Mon: 11-1, Mon: 9-12"
28,3.03,3.46,Writing,200,Second,"Thu: 1-3, Sat: 2-4"
29,3.18,3.18,Visual,200,First,"Thu: 9-12, Tue: 8-10"
30,2.09,2.35,Writing,200,First,"Mon: 10-12, Sat: 9-12"
31,3.22,3.43,Visual,100,First,"Tue: 8-10, Fri: 3-6"
32,2.34,2.45,Auditory,400,Second,"Sat: 1-3, Fri: 9-12"
33,2.13,2.19,Visual,100,First,"Mon: 10-12, Wed: 3-6"
34,3.9,4,Writing,100,First,"Thu: 2-4, Wed: 9-12"
35,3.93,4,Writing,300,Second,"Sat: 10-12, Mon: 9-12"
36,3.62,3.78,Writing,200,Second,"Wed: 2-4, Fri: 8-10"
37,2.61,2.87,Writing,400,First,"Sat: 11-1, Mon: 11-1"
38,2.2,2.55,Writing,300,First,"Wed: 1-3, Fri: 1-3"
39,3.37,3.55,Reading,100,Second,"Thu: 1-3, Fri: 3-6"
40,2.88,3.37,Reading,200,Second,"Sat: 9-12, Sat: 1-3"
41,2.24,2.72,Visual,300,Second,"Mon: 9-12, Fri: 1-3"
42,2.99,3.12,Writing,200,Second,"Sat: 11-1, Mon: 3-6"
43,2.07,2.32,Visual,300,Second,"Tue: 8-10, Sat: 10-12"
44,3.82,3.97,Writing,200,First,"Wed: 1-3, Sat: 1-3"
45,2.52,2.66,Writing,100,Second,"Tue: 8-10, Tue: 1-3"
46,3.33,3.35,Reading,400,First,"Fri: 1-3, Tue: 3-6"
47,2.62,2.92,Reading,100,First,"Thu: 9-12, Tue: 10-12"
48,3.04,3.29,Auditory,400,First,"Thu: 2-4, Fri: 1-3"
49,3.09,3.12,Reading,200,Second,"Thu: 8-10, Tue: 1-3"
50,2.37,2.51,Auditory,300,First,"Wed: 9-12, Tue: 10-12"
51,3.94,4,Auditory,100,First,"Thu: 11-1, Wed: 8-10"
52,3.55,3.67,Auditory,400,Second,"Mon: 2-4, Thu: 10-12"
53,3.88,3.95,Auditory,100,First,"Thu: 3-6, Tue: 11-1"
54,3.79,4,Auditory,400,First,"Wed: 10-12, Wed: 8-10"
55,3.2,3.69,Visual,100,Second,"Tue: 8-10, Mon: 9-12"
56,3.84,3.96,Reading,400,First,"Thu: 8-10, Fri: 11-1"
57,2.18,2.52,Auditory,400,First,"Tue: 8-10, Fri: 10-12"
58,2.39,2.77,Writing,200,First,"Sat: 1-3, Fri: 9-12"
59,2.09,2.21,Reading,400,Second,"Sat: 1-3, Wed: 9-12"
60,2.65,3.01,Reading,200,Second,"Fri: 11-1, Fri: 1-3"
61,2.78,2.96,Auditory,400,Second,"Sat: 9-12, Wed: 3-6"
62,2.54,2.86,Visual,300,First,"Tue: 11-1, Tue: 2-4"
63,3.66,3.98,Auditory,300,First,"Tue: 3-6, Tue: 11-1"
64,2.71,2.98,Visual,300,Second,"Wed: 11-1, Mon: 9-12"
65,2.56,2.61,Writing,400,First,"Tue: 10-12, Tue: 3-6"
66,3.09,3.51,Reading,200,First,"Fri: 1-3, Tue: 8-10"
67,2.28,2.44,Writing,200,Second,"Fri: 2-4, Wed: 1-3"
68,3.6,3.69,Visual,400,Second,"Sat: 2-4, Mon: 2-4"
